,Users,Review_date,Review_content,Rating
0,Hetvi Shah,a year ago,"Superb Acting...Movie made for Masses

Kamal Hassan what an actor... by god Vijay Sethupathi my abosulte all time favorite what a look you carry and Fahad class class actor

Supporting cast is superrr as well

it didnt bore even a second My personal favorite thing was Vijay sethupati's entry and the cute mature love story between fahad and his wife in the movie..and one loo bomb scene...i was like whattt theeee helll and booom superb scenes...Kamal Hassan holds the script so tight well packed bg ...More"," Rated 4.0 out of 5, "
1,R M Rowdy,a year ago,"Vikram review : Kamal Hassan is Back with a Bang. 
My rating : 3.5/5
Performances : 
If you are a Kamal fan, this film is a feast for you. If you are a fan of some good performances, again Vikram is for you too. So whatever category you belong to, Vikram satisfies you for sure because of the master of acting, Kamal Haasan. Kamal gave an unbelievable performance throughout the film, particularly in the action scenes. His expressions are priceless. The first half of the film has very little screen ...More"," Rated 5.0 out of 5, "
2,adhihtya sakthivel,a year ago,"Sirapaana tharamaana sambavam!!!

##First day, First show in Fun Mall.

There comes several Pan-Indian movies in 2022- Kgf 2, RRR, etc. But, this movie is something special. After KGF: Chapter 2, it was Vikram, which I loved a lot. Be it the cast performance, cinematography, editing and direction, everything was picture-perfect and top-notch👍🏻👏🏻👌🏽👌🏽


There were lots and lots of Wowww moments in the film. In the first half, Actor Fahadh Fasil sir completely steals the show through his ma ...More"," Rated 5.0 out of 5, "
3,Salana Ashok kumar,a year ago,"Vikram review : Kamal Hassan is Back with a Bang. 
My rating : 3.5/5
Performances : 
If you are a Kamal fan, this film is a feast for you. If you are a fan of some good performances, again Vikram is for you too. So whatever category you belong to, Vikram satisfies you for sure because of the master of acting, Kamal Haasan. Kamal gave an unbelievable performance throughout the film, particularly in the action scenes. His expressions are priceless. The first half of the film has very little screen ...More"," Rated 3.0 out of 5, "
4,Vikram Kumar,a year ago,"Audience reviews
Vikram (2022)
Profile image
Vikram Kumar
Posting publicly.
 
 
 
 
Filter by
5 stars
Review menu icon
Profile image
adhihtya sakthivel
a month ago
    
Sirapaana tharamaana sambavam!!!

##First day, First show in Fun Mall.

There comes several Pan-Indian movies in 2022- Kgf 2, RRR, etc. But, this movie is something special. After KGF: Chapter 2, it was Vikram, which I loved a lot. Be it the cast performance, cinematography, editing and direction, e ...More
602 people found this  ...More"," Rated 5.0 out of 5, "
5,Ashwin S,a year ago,Vikram is the best action films made in india with a best class making. I dont wanna spoil the crux of the film i just wanted to spill out my aderline here i have now just after finished watching the film wow what a film this is we now have a answer from kollywood. Lokesh is something else what a world and strong characters which had intensity and purpose bringing in multiple star and using them to thier best is never an easy job and we can surely say it is perfectly balnced as 33% for each only ...More," Rated 5.0 out of 5, "
6,Mahadeva Mugunthanram,a year ago,It was definitely entertaining for me who is 16 years old right now. Everyone's acting was brilliant especially Kamal Hassan and Vijay Sethupathi. It was funny in a very violent way and sometimes there were very simple but funny jokes all around. The camera shots very creative and fascinated me and made the movie so much more entertaining. There weren't any songs where they were dancing (apart from the one at the start) so it made me feel more connected to the movie and I didn't feel like I was  ...More," Rated 5.0 out of 5, "
7,Sivakumar Balachandran,a year ago,"Vikram - Wow what a movie !!!

1st half - An engaging Investigative crime thriller drama 
2nd half - A fully pumped up action thriller 

Vikram was a pure labor of passion and a 100% directorial venture of Lokesh so far in his filmography. I loved “Kaithi” movie but when I compare it with Vikram the daughter sentiment portion that Kaithi had was taking a bit more space or like mellowing down the screen play where as in Vikram we see a husband trying to save his wife , a grand father trying to sa ...More"," Rated 5.0 out of 5, "
8,Kishore Kumar,a year ago,"🎬 V I K R A M 🎥

✒️ M O V I E ▪️R E V I E W 🎟️

""An awestruck experience of new-age commercial thriller built within Lokesh Cinematic Universe"" 

Lokesh Kanagaraj created his cinematic universe from ""Kaithi"" and brilliantly coined it in Vikram . Director Lokesh scores maximum for being the thoughtful Writer. It is not an easy assignment to handle three lead actors in one film. All three actors have significant roles to play in the plot. Lokesh already proved his remarkable directorial skill i ...More"," Rated 4.0 out of 5, "
9,saiprasad chavan,a year ago,"Directed by Lokesh Kanagaraj, VIKRAM  is a Solid well-made & smartly-written investigative Gangster thriller that is uniquely stylish, wildly ambitious and brilliantly layered action blockbuster that succeeds viscerally as well as cerebrally, featuring some of the best Face offs & action set pieces you’ll ever see. 

Considering the runtime of nearly 3 hours it rarely pauses for breath, there’s not a single wasted frame from start to finish. The editing is razor-sharp, cinematography is Top-Notc ...More"," Rated 4.0 out of 5, "
10,Lekshmi Venugopal,a year ago,"First of all, let me take a moment to appreciate how much effort Kamalhaasan puts into his content to entertain us even at this age❤️👏🏻

Lokesh Kanagaraj's direction is brilliant and just running out of words to describe the quality of his screenplay❣️His direction signature is present in every shot.

Casts plays a crucial role for an action thriller and Vikram had the perfect cast to lift the movie to the next level.
Kamalhaasan, Fahad Fazil and Vijay Sethupathi - Three of them go hand in han ...More"," Rated 5.0 out of 5, "
11,Sumeet Nadkarni,a year ago,"Vikram review :

Probably a bit too late considering the film released in cinemas more than a month ago; Vikram was a smash hit down south but didn't muster an encouraging response in its Hindi dubbed version which is quite surprising as I found it top notch and significantly better than the Southern fare like Pushpa (2021), RRR (2022) and KGF Chapter 2 (2022) which broke records in the Hindi belt. Vikram deserved to perform just as well, if not more than them and hence, this review cum apprecia ...More"," Rated 4.0 out of 5, "
12,Niranjan S,a year ago,"What an entertainer!! I would call this movie a fire cracker which bursts with high decibels continuously for 3 hours albeit with less sound for few intermittent minutes. I watched by walking to a theater 6kms away from the place I stay and I felt so happy and enjoyed each and every moment of this movie. 
All the actors have done their job pretty well which includes ""Ulaga Nayagan"" Kamal Sir, ""Makkal Selvan"" Vijay Sethupathi , ""The actor who can express in eyes"" Fahadh Fassil and all the talente ...More"," Rated 5.0 out of 5, "
13,Chandru Mohan,a year ago,"Oh my goodness, what an epic movie that was! Not sure how to describe in a single word! To handle Aandhavar in such a gangster movie is so challenging but he has done exceptional very well. VJS,Fahad & Narian has nailed it! Interval scenes oh my god can't express it again same like Kaithi would say it's more than that, excellent screenplay,bgm, editing we had everything what a film lovers need! Awesome stunts!

Lots of surprise elements in the movie don't want to reveal the story, but sure there ...More"," Rated 5.0 out of 5, "
14,VIKING HELL,a year ago,"#VikramReview

Another feather added to History of Tamil Cinema !!

Yet another milestone in Kamal Haasan Sir’s career ❤️

The best movie again in his carrier by Lokesh Kanagaraj as said before in an interview he cleared all the flaws and has given neat movie.

Pure Fanboy Moment !

The stunt scene's from #AnbuArivu will be beyond our expectation and it is as much better than the recent blockbuster #KGF2

First half complete dominance by Fahadh Faasil and his team also the love scene's between F ...More"," Rated 5.0 out of 5, "
15,Barun Ghosh,a year ago,"Watch it for: Vijay Sethupathi, Action Scenes, Kamal Hasan

Don't expect anything like Kaithi or Maanagaram

I will not say I have not become fan of Lokesh Kanagraj's direction after watching Kaithi,

Kaithi is built up on sharp performances of average actors ( except Vijay ) and superb direction, story line, filmography, superb background music

since 'Master' director started experimenting with established actors, and as with bollywood, when an actor becomes star - his stardom over shadows his ...More"," Rated 2.0 out of 5, "
16,Navendu Krishnan,a year ago,"Saw Vikram yesterday 

Its a good movie with edge of the seat entertainment. 
However I must say Kaithi remains the best of Lokesh Kanagaraj, 

Vikram can be titled as Fahad fasil in Vikram, because most of the time the story revolves around Fahad fasil, Kamal hassan has lesser screen time even below Chemban Vinod 

Story is neatly written and excecuted, it got lot of grip in Intervel , Climax scenes, Cinematography is excellent as well as costume selection, Kamal hassan had best costumes which  ...More"," Rated 3.0 out of 5, "
17,Pranav Biju,a year ago,"Three cheers to team Vikram!!!

Helmed my Kollywood's present-day ""master"" of gangster films - Lokesh Kanagaraj - and starring a surprise-filled ensemble cast, 'VIKRAM' surpasses the director's previous flick by multiple notches and proves to be a limitlessly goosebump-giving re-entry for ""Aandavar"" Kamal Hassan! Other than the superstar, my favourite in the film is definitely the ever-reliable Fahadh Faasil ""FaFa"" in yet another of his neat performances.

The film interestingly happens in the s ...More"," Rated 4.0 out of 5, "
18,Alquain Murzello,2 months ago,"Just speechless!! One of the best, riveting, deliciously crafted, intelligent action thrillers in Indian cinema! Delightful, crazyyy, stylish, mind-boggling... MUST WATCH ONLY ON THE BIG SCREEN!!!🤌🏻🔥🔥💯💥
Writer-Director Lokesh Kanagaraj, what a filmmaker!🔥🙌🏻🙌🏻🙌🏻 Such brilliance & technical finesse!! The way 3 to 4 scenes are simultaneously playing at the same time smoothly with intersperced cuts between scenes beautifully connecting & keeping the viewer engaged throughout. Ulaganaaya ...More"," Rated 5.0 out of 5, "
19,Soumalya Nandy,a year ago,I have not seen Kaithi or Master yet but damn do I want to watch them now because I absolutely adore the direction style of Lokesh Kanagaraj. He has a unique way of showing the scenes stylistically and especially the lighting in the dark scenes is pretty remarkable. I am not giving it a 5 because it's not something totally unique and out of the box but what an enjoyable dark and entertaining ride it was and not even one second of boredom. The twisted way in which the story and the characters are ...More," Rated 4.0 out of 5, "
20,Rohan Prabakaran,a year ago,"Naayagan Meendum Vara
Ettu Thikkum Payam Thaane

I couldn't take my eyes off the screen for the entirety of the movie, after so many lacklustre movies like Beast and outright disasters like Valimai, Don was a decent relief (yet to watch, but great reviews), but Vikram is a showstopper and a jaw-dropper. What a masterpiece by Lokesh after a decent affair in Master. From the very get-go, there are small connections with Kaithi, but as the movie runs on, it runs so smoothly with the universe of Kai ...More"," Rated 5.0 out of 5, "
21,Huzz Feed,a year ago,"VIKRAM (Spoilers ahead)
You don't have to be a Kamal fan to enjoy this movie but then again who isn't? Although you may have to wait a good amount of time to see your favourite ghost on screen, don't be fooled because it might have been lingering there all along. Even then you won't feel Kamal's partial absence because the story, suspense and phenomenal acting by every character just sucks you in right from the onset and quite literally keeps you on the edge of your seat right till the very end  ...More"," Rated 5.0 out of 5, "
22,Sriram Srinivasan,a year ago,"I am completely blown away to describe my experience watching Vikram on the big screen. Foremost, I earnestly applaud Lokesh Kanagaraj for his spectacular & flamboyant presentation throughout the movie. I am extremely impressed with the way he handled the huge star cast ensembles  for this movie. What a narrative, oh my god, it’s unbelievable. The character arcs of Amar & Santhanam stole the show. I was sceptical about Vijay Sethupathy’s role in Vikram cos of the same actor’s Antagonist portraya ...More"," Rated 5.0 out of 5, "
23,Rehma Sakti Shiri Kumaraswamy,a year ago,"I ain't a big Movie Buff. I only enjoy the experience! The whistles, the impeccable adrenaline urge to howl, scream like crazy and the thrill to encounter theater audiences...Pleasing right? 💫

Once such happened today, after 3 long yrs. Experiencing BIG SCREEN again with VIKRAM. 

With KH - FaFa - VJS - Suriya - and few other surprises added, Each and every role that you will see, is uniquely projected with full justice. 😍

Let's say, KH steals the show, FaFa owns and runs it, VJS with no mer ...More"," Rated 5.0 out of 5, "
24,Tamil teen review 1000,a year ago,"This film was a cinematic wonder piece , Lokesh Raj has yet again proved to us why kollywood will always be number one . This movie will be a piece of tamil cinema history in which lokesh Raj has introduced Hollywood ideas into kollywood taking tamil cinema to another level . The idea of multiverses in kollywood is truly amazing
While watching this film I can truly feel the intense atmosphere balance alongside the comedic tones with in this movie . Fahadh was in my eyes is an underrated actor in ...More"," Rated 5.0 out of 5, "
25,Antony James,a year ago,"Vera level thalaivarae!!! Vera level...

It's a director's movie out and out and no compromise whatsoever on the script. Brilliant casting and cinematography... Kudos to the cast who danced to the tune of the director! Big Fan of Kamal Hassan and his works from years bygone and he is back to his full prowess. Sethu as Villain was a class act. Fahad is versatile and has connected the entire story. Great team work!! And lastly, Agent Tina was the surprise package and was on par with the veteran ca ...More"," Rated 5.0 out of 5, "
26,Sakthivel Palani,a year ago,"Felt like watching an international level spy-thriller, with excellently choreographed action sequences and background score. ""Kamal-Eastwood-Haasan"" was so convincing and entertaining, lived up to the expectations of a living-wonder, appeared in a role which doesn't resemble any of his illustrious long list of past characters - this itself is an achievement for @lokeshkanagaraj in its own right. Fahad Fasil has elevated the role and made the routine investigation scenes more interesting through ...More"," Rated 5.0 out of 5, "
27,RAJASHREE PATTNAIK,a year ago,"Vikram [2022]

Lokesh Kanagaraj has taken the movie to Hollywood standards. For the first time I have watched an Indian movie that has got the gunplay to whole new level. The fight choreography scenes are absolutely gorgeous. Fahadh Faasil, Vijay Sethupathi and evergreen Kamal Haasan all have portrayed their roles brilliantly. Lokesh has even made Kamal Hassan character make believable given his age and flappy body shown at the begining. The whole movie can be compared to Denzel Washington’s(my  ...More"," Rated 5.0 out of 5, "
28,Pavithra Selvaraj,a year ago,"NON SPOLIER:

Vikram is technically brilliant, a satisfactory movie with big star cast, all of them get very good screen space. 

It has well choregraphed fight sequences, great cinematography.
But I do not recommend watching with kids as there is too much violence and blood.

The background score is good and has better songs than most of Anirudh's recent films.

Lokesh Kanagaraj has made a new attempt to create his own ""universe"" with stories and characters linked from Kaithi and obviously, thi ...More"," Rated 3.0 out of 5, "
29,Vishal Mishra,a year ago,Some movies keeps you engaged and some movies thrills you… but Vikram does both. Well written and executed screen play … a movie directly for the director who knows what he is doing… excellent dialogues which is more effective to hear from actors with great caliber… technically sound movie… kamal hassan has done what he is best at.. we started liking Vjs as antagonist… fahad fasil has underplayed little bit.. music and bgm raised this movie to another level… some may say first could have been tr ...More," Rated 5.0 out of 5, "
30,sivanandam gb,a year ago,"VIKRAM watched in Hollywood 3 Theatres in Vancouver, Canada.

VIKRAM by Lokesh Kanagaraj is an exhilarating experience, only to be had in theaters.  It is not the kind of movie you can sit and enjoy at the comfort of your home on a Saturday afternoon.  The big screen viewing along with exciting and thumping music will leave you in awe.  

The well written screenplay, splendidly filmed, definitely makes up for the one liner of a story.  The director, who is only 3 films old, has etched out charac ...More"," Rated 4.0 out of 5, "
31,vaibhav srinivasan,a year ago,"Vikram!!!

Mild spoilers ahead!! 

Movie worth watching it in the theatre!!

Now this is what happens when a fan boy makes his dream movie! 😍 Even justkamal things like neenga nallavaraa kettavaraa question make us smile! 

Interval block is bliss!! 😍 😍 😍 😍

 Vikram - A healthy acting competition between 3 epic actors and as usual, the veteran steals the show.

What makes Kamal a spl actor - A simple example of establishing authenticity to the role he plays. A trivial shot caught my mind. H ...More"," Rated 5.0 out of 5, "
32,Sabharish G,a year ago,"Vikram review U/A
Starring Kamal Haasan,Fahadh Faasil,Vijay Sethupathi,Kalidas Jayaram,Narain,Suriya.
Rating=4/5
Positive
1.Kamal Haasan Performance
2.Fahadh Faasil and Vijay Sethupathi Performance
3.Story
4.Music
5.Solid 1st half and terrific 2nd half.
6.Twists
7.Action Sequences
8.Cinematograhy
9.Sentiment Scenes worked well.
10.Terrific Climax
11.Screenplay and Direction Superb
Negative
1.Logic mistakes like every action movies including hollywood movies.

Verdict=Vikram is a thriller that wi ...More"," Rated 4.0 out of 5, "
33,Lakshmi Bhajana,a year ago,"Vikram 2022:

After a spate of bad movies from big stars
it was a welcome change to watch a well made movie. Kamal has been trying to choose roles his age( he made a remark about old heroes wheeling and romancing young stars in Uthama Villian) and nice to see him as a grandfather here. Also he has given equal screen space to Fahadh and VJS understanding the pulse of the audience and let the director lead the narration. Anirudh’s BGM a good fill in when guns and knives are not blasting and slashi ...More"," Rated 3.0 out of 5, "
34,Nazeer K Khaja Mohideen,a year ago,Some movies keeps you engaged and some movies thrills you… but Vikram does both. Well written and executed screen play … a movie directly for the director who knows what he is doing… excellent dialogues which is more effective to hear from actors with great caliber… technically sound movie… kamal hassan has done what he is best at.. we started liking Vjs as antagonist… fahad fasil has underplayed little bit.. music and bgm raised this movie to another level… some may say first could have been tr ...More," Rated 5.0 out of 5, "
