,Users,Review_title,Review_date,Review_content,Rating
0,personalacc-87247," A 100% LOKESH MOVIE!
","<span class=""review-date"">3 June 2022</span>","
This film will not disappoint you. What a comeback from Kamal.It's a sequel from 2019 Kaithi, every character was detailed properly.It's definitely not like Master! It's a Marana Lokesh padam.Vera level work by ANIRUDH!Family audience should realise this is the new commercial entertainer.The type of emotional mass masala movies should be dead! It's 2022 not 2005!Overall: a treat for cinema fans! 9/10This is the pride of Tamil cinema after multiple failures by big actors! (Not gonna mention who)
",9
1,m-ramanan," Kamal version of Kaithi...Highly recommended
","<span class=""review-date"">3 June 2022</span>","
RATED 10/10
Language: Tamil
Media Partner: Hotstar
Source: NIL
RECOMMENDEDKamal's most action packed film delivered without any lag from beginning to end. Even though we have bunch of stars in the cast, Vikram shines out everyone, at the same time everyone's space is kept well...
Movie has lot of Easter eggs from the beginning to end. Lot of reference to Lokesh and Kamal movie references.The movie is surprise sequel to ""kaithi"".Lokesh compromised little bit in master, here its full and full Lokesh show with mass moments. First half Kamal is there in very few scenes only, but shown as much as possible shades of him. The first half belongs to Fahad and VS. The interval block with Vikram BGM ending is ultimate. The first half is kind of perfect version of ""valimai"".Second half is filed with action sequences. The Milk fight scene and climax Kaithi fights are top notch. Movie has more gore and violent graphics...Lokesh handled the second half brilliantly and balanced with all cast perfectly. Very big Kudos to Lokesh... Climax Surya's cameo and Other surprises are claps worthy....
Must watch for everyone and Repeat watch for Kamal/movie fans.Getting ready for the next show.
",10
2,nidhunmoviebuff," A fanboy film that celebrates Kamal Hassan to the fullest extent!
","<span class=""review-date"">3 June 2022</span>","
The buildup and marketing to Lokesh Kanagaraj's Kamal Hassan starrer ""Vikram"" has been nothing short of all-encompassing, driven primarily by the fact that the 36-year old young director is yet to direct a sub-par movie, with ""Maanagaram (2017)"", ""Kaithi (2019)"" and ""Master (2021)"", all having been well-received by audiences. And the precocious storyteller delivers, with a mazy yet continuously engaging crime saga with resounding mass elevation sequences and enough emotional hooks to keep the audience invested.3-time National Award winner for Best Actor Kamal Hassan stars as a grieving father heartbroken at the loss of his son, who was a policeman investigating the burgeoning drug mafia in Chennai and who had, before his mysterious murder, uncovered a staggering cache of illegal drugs the syndicate safeguarded . Enter Fahadh Faasil, a black ops specialist charged with unraveling the mystery around the carnage unleashed by the cartel as a result. Vijay Sethupathi stars as the head honcho of the vicious and vengeful mafia operation and is first shown to the audience in one of the most intricately weaved, deliciously bonkers intro sequences for an antagonist in recent memory.It is testament to Lokesh Kanagaraj's directorial genius that he manages to give his three lead actors enough room to develop their characters and build a connect with the viewers. If it is Sethupathi's quirky eccentricities that catch the eye, Fahadh's intensity weaves a subplot of its own while Kamal excels in the emotional sequences. Lokesh Kanagaraj had told us to rewatch his classic ""Kaithi (2019)"" before we went to theaters to watch ""Vikram"" and with good reason, with the two movies being intricately connected and seemingly leading up to an extensive LKU-A mouth-watering Lokesh Kanagaraj Universe! A fantastic cameo from superstar Suriya is the cherry on the cake, with the actor looking the most stylish and massy he has in years!The director's penchant for crime thrillers, retro music and biryani continues to hold good for ""Vikram"" with Anirudh Ravichander's music rendering a soaring sheen to the narrative being built. The callbacks and references to old Kamal classics blend smoothly with the storytelling and are never jarring or contrived. The actor's phenomenal voice modulation and expressive eyes elevate even simple sequences to another level, especially his interactions with his toddler grandson.Master stunt choreographer duo Anbariv continue the same rich vein of form they displayed in the KGF franchise, but this time sacrificing the larger canvas for more close-quarters, hand-to-hand combat in tight spaces. Girish Gangadharan's cinematographer is other-worldly as usual, soaking up the bone-crunching action in all its glory. Editor Philomin Raj also deserves praise for ensuring that a movie with a seemingly daunting 3 hour run-time is never boring at any stretch.While you might see many of the plot's twists coming, the visual grammar, treatment and picturization takes your breath away, nevertheless. ""Vikram"" is yet another endeavor from a superstar fanboy that pays rich dividends, along the lines of Prithviraj's Mohanlal tribute ""Lucifer (2019)"", Karthik Subbaraj's Rajnikanth-starrer ""Pettah (2019)"" as well as Amal Neerad's ode to Mammootty, ""Bheeshma Parvam (2022)"". Highly recommended! Long live the Lokesh Kanagaraj universe!
",9
3,msunando," Once upon a time, there lived a ghost!
","<span class=""review-date"">4 June 2022</span>","
Call it a magnum opus, or larger than life, but Vikram has been worth the wait. A Kamal Haasan film always brings innovation with it, and Vikram aces it in action. Mounted on superlative production values and a breathtaking pace, Vikram doesn't have one dull moment in its 146 minutes of running timeThe film starts with a series of murders, including that of Karan (Kamal Haasan) perpetrated by a team of vigilantes that claims to be cleaning up the system by waging a war against the system. Two of the three people murdered were policemen who had captured a large consignment of drugs and hidden the same in an unknown place, and Karan was the foster father of one of them. This is just the beginning. The Chennai Police Commissioner calls upon a crack team of sleuths led by Amar (Fahadh Faasil) to trace down the culprits as they are the best in the business. Amar and team go about systematically and conclude the case with a warning to the Commissioner himself - that Amar knew who murdered one of the two policemen, and that Vikram, the original leader of the Black Squad from the 1980s, taken for dead, is back to life and out on a mission to rid the nation of the drug menace.Vikram (Kamal Haasan) is in reality an undercover agent leading a team of vigilantes, cleaning up drug mercenaries knowing very well that their current crop of antagonists headed by a local drug lord Chandhan (Vijay Sethupati) are just small fish that must be dealt with. The real big fish Rolex is who their ultimate aim is.Vikram, helmed by Lokesh Kanagaraj is visually spectacular. A taut action adventure, it extracts Kamal Haasan to his fullest potential, but doesn't showcase him in every frame to make sufficient space for Fahadh Faasil and Vijay Sethupati too. In fact, the three men are the core of Vikram, in very different roles that make the movie immensely watchable with a mix of myriad emotions and action at its best. The climax is violent, with the use of an arsenal of firearms and hand to hand combat, setting up a finger licking wait for the potential sequel where Vikram will lock horns with Rolex (Suriya, playing a surprise cameo). Don't wait for Vikram to drop into OTT platforms, for a film like this must only be watched in the theatres.
",9
4,thujan," Kamal is back! Time to show how's it done.
","<span class=""review-date"">3 June 2022</span>","
Very engaging screenplay and overall great performances by all stars. A lot of fan moments to enjoy. Looking forward to future installments of the Vikram series. Congratulations to Lokesh and team.

                    62 out of 82 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
5,abhishekshatry," Blockbuster
","<span class=""review-date"">3 June 2022</span>","
#Vikram - Fire Fire Fire 🔥 🔥🔥🔥🔥🔥. Best cinematic experience l've ever had in recent times ,action packed second half deserves multiple watch! @ikamalhaasan , Fafa, @VijaySethuOffl& @Suriya_offl- what a treat to watch all these powerful performers in one film 🙏 @Dir_Lokesh.

                    59 out of 84 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
6,sriramthestranger," Loki universe!!
","<span class=""review-date"">4 June 2022</span>","
KH is back with a bang in this action movie. The action scenes are raw and chilling. Every character has brilliant characteristics and are used brilliantly to the screenplay. Fahad Fazil has a good emotional part. Do watch if you like raw action movies!!

                    35 out of 51 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",8
7,emmanueljosepaul," Must Watch One
","<span class=""review-date"">3 June 2022</span>","
Not Kamal Haasan
Not Fahad Fazil
Not Vijay Sethupathi
Not Surya
Lokesh is the Real HeroUtilised the Cast perfectly ...
BGM, Theatre Experience was lit 🔥

                    60 out of 79 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
8,akkid97," Real thirller treat
","<span class=""review-date"">3 June 2022</span>","
From last few years south Indian PAN movies are surprising us with their content and Kamal sir is legend. This movie has so may south superstar and movie is action thriller and story gives you thrill.Go for this movie if you are fan of action thriller movie.

                    34 out of 48 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
9,copperzone," Great great watch!
","<span class=""review-date"">3 June 2022</span>","
Excellent story, well-knit and full of exciting climaxes, performances are to die for, music and action choreography are both striking.KH- charming, strong, ageless and confident as ever, couldn't take my eyes off that man.He is a WOW!VS- a unique performer and each of his work is like a case study. That auto rickshaw scene was Ssssuperb!FF- fierce and hideous, he evolves with every role with an unbeatable impact on his audience.Oh, that housemaid delivered a mind blowing performance. She was so cool 👏👏👏
",9
10,IPyaarCinema," Stylish Entertainer
","<span class=""review-date"">24 July 2022</span>","
Lokesh Kanagaraj's idea to make an universe out of his films expands with Vikram. The movie begins where Kaithi ends. Two containers full of costly drugs go missing. The local Pablo Escobar, Santhanam (Vijay) is hell bent on finding it. Amid this is a group of masked killers killing people who have something in common. The police hire a shadow gang to find them out and the drama unfolds.There is style, unimaginable action sequences, Thrill , suspense and all of this performed by some of the most talented actors Indian houses right now. Fafa gets to play the most interesting part as he transforms with the movie. There is a journey to his submission to the lawless justice and when you have an actor of Faasil's calibre it only becomes hauntingly beautiful. Kamal Haasan makes a comeback after a long time and he is superb in his action avatar. Vijay's facial expressions, body language, and screen presence Was good.Postive Points -PerformancesAnirudh's BGMStorytellingEntertainmentNegative Points -the writing is slightly generic in a lot of placespredictable first Half , even a kid could tell that the person behind the mask is Kamal and he was alive.
",7
