,User,Date,Review
0,NeelakkuyilEntertainments,1 year ago,Fahadh Fasil Fans likes here
1,venkatesh1729,11 months ago,"100 DAYS OF VIKRAM
Still this trailer doesn't fail to give goosebumps "
2,burn4sell,1 year ago,After watching movie 2 times... Trailer still gives GOOSEBUMPS 
3,antonyjacapj3182,6 months ago,விக்ரம் படம் 100 நாள் ஓடினதற்கு பிறகு டிரெய்லர் பார்க்கும் ரசிகர்கள் யாராவது இருக்கிரீர்களா 
4,gooner5244,1 year ago,"This movie has the best interval scene in Tamil cinema history   Almost 3 hours, but you couldn't take your eye off even for a second! Well done Loki, Kamal, VJS, Fahad, Suriya and team  "
5,mohammedsuhail8,7 months ago,"This film is just wow  on par with Hollywood 

VJS + Kamal Haasan + Fahad Fasil
Just look at the starcast that's enough to know how the movie is

And climax ROLEX theatre erupted "
6,CinemaTicketTamil,1 year ago,Kids! This is our Tamil Cinema's Turn to show what we are capable of! ஓரமா நின்னு வேடிக்கை பாருங்க! The name is KAMAL HAASAN 
7,akshayrohilla7985,1 year ago,Beyond expectations loved the graphics and action 10/10
8,KishoreKumar-bl5vi,10 months ago,ROLEX SIR Attitude Was 10000 Times Better than all bollywood actors
9,suryasurya5649,8 months ago,Vere level Waiting For #Thalapathy67..
10,noorainbegum4438,1 year ago,"What a movie!! No one could have played the role of Captain Vikarm the way Kamal sir did.. His body language, his aura is impeccable..."
11,Guruprasadvgp,1 year ago,"What to expect
Fully loaded ""unnaipol oruvan""
Hardcore version of ""kaithi""
Ultimate version of ""master""
All together to for AANDAVAR'S ""VIKRAM""️
WELCOME TO LOKI MULTIVERSE ️"
12,joysharma1097,1 year ago,"A masterpiece... Hats off to the director, writter, actors and to the entire crew. The background score is truly amazing. It acted as a catalyst."
13,fayyaz2578,1 year ago,"Hats off to the incredible cast. Brilliant performance by every individual. Would definitely request for a sequel. 
Such a great masterpiece!"
14,hari_shady,3 months ago (edited),"Best BGMBest StoryLineBEST ACTORS Best ClimaxBest Sequel Intro
Undoubtedly the Best in the Last 2 decades of Indian Cinema
Proud to be from TAMILNADU Typing this at 4am"
15,vikashdevanraj781,1 year ago,"Just watched the movie... It was freaking amazing.. the bgm, cinematography, songs... A masterpiece "
16,icycup2371,1 month ago,"a year later
still gives goosebumps "
17,ashokshelby,1 year ago,நாங்க யாருனு காட்ட வேண்டிய நேரம் இது Kollywood Cinema 
18,koiundwrru571,1 year ago,"Yesterday watched in theatre... Complete masterpiece movie, perfect acting skill,music, action scenes brilliant ... Best experience in theatre "
19,kogula,8 months ago (edited),Omg it's been 150 days and I still can't stop watching Vikram. Really got addicted. Vikram will be my favourite movie forever. Everybody say VIKRAM!!!!
20,c.l.creations304,3 weeks ago,"1 year of Vikram released,but still this trailer gets goosebumps "
21,FaizanAli-yt5fj,1 year ago,"Vikram is masterpiece....
A combo of action thrill and suspense.... And BGm is on Hollywood level...... ️🇵🇰"
22,kabilsk6201,2 months ago,"1 year of Vikram  
One of the best theatre experience "
23,Guruprasadvgp,1 year ago,Expect the unexpected 
24,susisathananthan5031,1 year ago,"Loved the movie!! The characters were defined so well ! Agent Tina was amazing !! Totally taken back by her fighting sequence! Such a powerful role ! Loved the way, how the movie unfolds Vikram’s character!"
25,viakuntarao7291,1 year ago,Kamal Hassan sir telugu fans here...watched movie 5 times...still the same goosebumps all the times... I'm in tears after watching this movie making big success...love tamil Nadu and tamil cinema from Andhra Pradesh ️
26,amanms1999,3 months ago,"Can we just talk about how incredibly edited this trailer is. Seriously, this is one of THE best trailers ever made, on par with that of Mission Impossible: Fallout, The Girl with the Dragon Tattoo, Avengers: Infinity War etc"
27,ironspidey7137,1 year ago,"Vikram is the true quality Indian Cinema, with realistic action,
great BGM, great acting performances with amazing story,
and excellent cinematic aspects!"
28,gokulsgk-ou9sl,5 months ago,Rolex Sir Entry 0.10 Masss
29,Guruprasadvgp,1 year ago,"The rivalry is alive ️
AANDAVAR is back "
30,SaiKrishna-fc3od,8 months ago,Seeing Kamal sir again in prime form makes me happy.
31,mrTamilaNadu,9 months ago,"100 Days of Vikram ️
Still this trailer doesn't fail to give pure Goosebumps ️  வாழ்க தமிழ்"
32,HimSha07,1 year ago,"What a gem!!  

One of the best and sensible movies of all time. Everything in this movie is up to the mark. ️️️"
33,vimalrajnatarajan3376,2 months ago (edited),1 year of vikram still goosebumps
34,praticm2846,1 year ago,Watched the movie 2 times already but the goosebumps still remains 
35,vickypeace8184,7 months ago,It's 2023 But Still Get Goosebumps after See the Trailer ️‍
36,PetsSwag,1 year ago,North to South only Vikram 
37,jeevanmenezes6430,1 year ago (edited),What a masterpiece. Part 2 will cross 1000 crores. BGM out of this world . Regret for not watching this movie in theatre. Respect from Karnataka.
