,Users,Date,Review_content
0,Dadsden,1 year ago,Yes!!! Can’t wait to react to this one!
1,knowit8633,11 months ago,The train dance the first few steps are his younger age steps .... Goosebumps moment
2,anikkumarsaha8870,11 months ago (edited),"Listening the song in loop.. 
Dancing inside 
Love Kamal sir. ️️️"
3,mtxmaayavii931,11 months ago,1:08 my favourite part
4,amaal5672,1 year ago,"Couldn't watch this video without a smile on my face. All eyes are on Kamal Sir's dance moves. May he continue to make us wonder. Long live, Legend. "
5,sonuswami1179,12 days ago,"Vikram movie all time favourite

No nudes no ldkibazi no fake action no copy and paste








I love this movie "
6,sharonudayan6856,1 year ago,Pathala pathala fans from Kerala ️
7,asphalt_assault,1 year ago (edited),This Song give goosebumps whenever I listen through headphones 
8,suresh2424,11 months ago,As a Actor no one will match Kamal.. At this age what a dance and face expression
9,Snjv,2 months ago,Kamal's voice and graceful moves takes this one to a different level!! Ulaganayagan for a reasons!! 
10,sivasundaramenansivasundar5123,1 year ago (edited),At this age how he could be Dance . Seriously he is one of the masterpiece for Indian cinema
11,vickyhegde9565,7 months ago,Who are addicted to 1:40 for those steps and bgm
12,rajreacts,1 year ago,That 30 secs singleshot is pure bliss from 1:08 to 1:38. Just Aandavar energy and proper dance moves not compromising with camera cuts. Kudos to Sandy choreography. #Pathalapathala repeat mode.
13,MRMmmm-ys8du,1 year ago,This is a movie that will be remembered for a long time. Kamal sir is a Mine of Talent.
14,ferrerorocher9287,1 year ago,The beat and Andavar sound....unbeatable. Love it soooooo much.
15,DP-zd8fr,1 year ago,"His voice. It's his voice, and the layers of vocal ranges he brings into a song. Avar kuralum nadikkum."
16,subsChallengeWithVideo-yh6cl,11 months ago,"Dear Parents : ""Just Becoz Your Child is Smiling At There Phone Doesn't Mean They Have BoyFriend Or GirlFriend They Are Watching This Masterpiece Songs"" "
17,dougluskaliyakavila,1 year ago (edited),See the energy level at this age.... Superstars may come and go.... But there will be Only One....Ulaganayagan...... Aandavar Kamal Hassan
18,gogulavasan4534,1 year ago,"A movie has some goosebump moments but this movie has only goosebump moments .
"
19,nmv298,2 months ago,Kamal sir ....one & only ...real living legend 
20,KD-ys8gz,7 months ago (edited),1 : 9 starting Goosebumps  legendary 
21,srajkishore,11 months ago,We thought Kamal sir lost his glory but re-entry was much bigger than what anyone expected. Wow loved your energy and performance sir. You are an inspiring and role model for this generation.
22,ShyamSundar-bz8jq,5 months ago,Kamal sir voice is like a Roaring lion 
23,gouseshaik74,1 year ago,"The film is not just for the Tamil audience, it is for all the KAMAL HAASAN fans in the world... "
24,v.sridevikumaresan6168,1 year ago (edited),Daily watching this song at least once to get energy whenever im down... what a hard work  by kamal sir in his work at this age..
25,Prathameshdsingh,1 year ago,Legends never get old
26,akshaydevesh7085,1 month ago,After seeing nan ready song 
27,pbshort1619,1 year ago (edited),These guys excudes such a positive energy that they tends to lift spirit
28,joydeep6582,1 month ago (edited),This is real or the definition superstar who inspired the whole generation from North to South.. including lokesh kanagraj  #ulaganayagan
29,sankhenduchakraborty8047,1 year ago,You know you are the biggest superstar in the country when you can rock the screen like this at the age of 67.. ULAGA NAYAGAN ️
30,masternishhwath73,1 year ago,Goosebumps 
31,gurulovalekar9101,3 weeks ago,This song is just goosebumps on every camera angle as well as sancing moves ........ Mr. Lokesh and kamal sir.... Not to forget aniruddha...... Gungho from Maharashtra 
32,DoneBrokeDatBack,1 day ago,"I can't get this song out of my head.  Much love to everyone from NC, USA!"
33,tintumphilip3940,2 months ago,Goosebumps 
34,thegobinath1,1 year ago,"From Kaasu Mela in 1998 to Pathala Pathala in 2022, the man's vibe is strong and same even after 24 years "
35,madancmaurya328,5 months ago,South Indian cinema not only taking over Bollywood it totally finishes the Bollywood. 
36,TamilSelvan,1 year ago,Repeat mode with #Kamal Sir Energy - AMAZING
37,ntbollywoodsongs4557,1 year ago,Feels good to see a remade song still having the essence of the original! Really good cinematography as well
38,DeepChillMusic99,1 year ago,I like this music very much. It creates encouragement to do something new in life which no one can do.
39,revathiveluswamy7707,10 months ago,His energy level at this age is unbelievable And  Hats off for Sandy master for bringing his talent at this age 
40,Kirito-bi4vr,1 year ago,"Man , that dance and the beat "
41,samadsaleem9319,3 months ago,only one word one thing for kamala hasan sir legend always legend
42,Rajkumar-rg1gf,1 year ago,என்றும் சினிமா உலகத்தின் நாயகன் எங்கள் உலகநாயகன் மட்டுமே 
43,anisahmedmitul2334,1 year ago,In this age his dance is better then some Bollywood actor ️️️ Kamal Hasan Sir  love from Bangladesh 🇧🇩🇧🇩🇧🇩
44,MuthaliGanesh,1 year ago,"as you listen to this song more times, you get addicted more"
45,Subscribe_this-Channell,10 months ago,"""ஒரு படத்தின் கதையை புரிந்துகொண்டு இசை அமைக்கும் இசையமைப்பாளர் அனிருத்.."" ️"
46,bhanudadala5005,2 months ago,1 year for this masterpiece 
47,NagarajNagaraj-wz7xe,3 months ago,i am addict in this song
48,suryaraj8832,1 year ago,"Nowadays kids know movies like  RRR,KGF,PUSHPA .He is the only one and as well as first pan India star . Kamal Hasan sir . Ruling from 6 decades . Hats off   .Living legend.️"
49,mk61289,5 months ago,There are certain things that only Kamal can do.. unimitable.
50,PremaPrema-ux6tl,7 months ago,Mass song ️
51,thanusreegadang7489,4 months ago,This song is a vibe!
52,adarshhegde8316,1 year ago,This song never gets old ️
53,footsportmalayalam,1 month ago,Can't believe a 68y old man is doing these tough steps️️one and only ULAKANAYAKAN
